"QuestionNo","QuestionStatement","QuestionAnswer","QuestionExplanation"
1,Are all fat bad for you?,,False! Artificial trans fats are what negatively affect your heart and health. Saturated fats do not cause health problems in moderate amounts.
2,Is having any coffee at all bad for you?,,"False! People have been arguing over whether coffee is good or bad for you for over a century. While drinking too much is not good, coffee is actually one of the biggest sources of antioxidants in the Western diet."
3,Energy drinks are worse than sodas: True or False,,"True! Many energy drinks have more sugar and calories than a cup of Pepsi of equal size. While they claim the energy boost comes from the vitamins in them, it's really just a sugar rush combined with caffeine and occasionally other substances."
4,Is eating egg yolks bad for everyone?,,"False! While diabetics might want to avoid egg yolks, eating eggs in moderation is actually good for most people. They are very nutritious and raise your good cholesterol, rather than your bad cholesterol."
5,Does eating fat really always make you fat?,,"False! While eating an excess of fat is bad, fat is not actually the health villain it has made out to be. We think of fat this way largely because the sugar industry funded studies to make fat look worse for you than sugar decades ago."
6,Are oranges a good way to get vitamin C?,,"True! Oranges are a solid source of vitamin C. Others include broccoli, papaya and red bell pepper."
7,Are all calories the same regardless of which foods they come from?,,"False! While a cheeseburger from McDonald's and an avocado might have the same amount of calories, they are still vastly different foods. Just because two foods have the same number of calories does not mean that they have the same nutrients or will affect your hormones and health in the same way."
8,"Are low-fat, high carb diets the healthiest?",,False! It is a popular myth that low-fat and high-carb diets cause weight loss and prevent disease. This has been explored in multiple scientific studies and been debunked by all of them.
9,Can spicy food really boost your metabolism?,,"True! Hot peppers have been shown to have a metabolism-boosting effect. However, if you can't take the heat, don't worry. Milder peppers may have some calorie-burning potential too!"
10,Is eating a high-protein diet bad for your bones in the long run?,,"False! One common myth is that eating a high-protein diet sucks the calcium out of your bones and can lead to osteoporosis. In the long term, however, high protein intake has been shown to lessen osteoporosis and fractures in old age."
11,"when foods are labelled ""natural"", does that actually mean anything?",,"True! The FDA does not regulate the use of the word, so it's more or less a marketing buzzword companies put on everything from fresh fruit to Cheetos. Always read the ingredients of what you eat and don't rely on labels."
12,Cooking food always destroys its nutrients : True or False,,"False! While many raw food advocates claim that cooking food makes it nutrition-less and cancer-causing, that is not accurate. Some foods release more of their nutrients when prepared in certain ways."
13,Potatoes are good for you: True or False?,,"True! While some consider potatoes to be empty carbs, that is wrong. They actually contain healthy phytochemicals, like flavanoids."
14,"Can you really eat as much as you want, as long as it's healthy?",,"False! While you are better off eating 600 calories of vegetables than 600 calories of cookies, overeating is never good for you. Moderation is always key."
15,Are the calories you eat at night more fattening than those eaten during the day?,,False! Calorie counts are the same for a food whether you eat it at 3 a.m. or p.m. This is an old myth that has to go!
16,Low-card diets are better for you than low-fat diets: True or False?,,"Low-carb diets are not for everyone, but they have been proven way more beneficial than low-fat diets in over a dozen studies. They are especially useful for people with certain conditions, like obesity and diabetes."
17,Is saturated fat a killer?,,"False! Nutrition is often more about balance than avoiding ""evil"" or ""bad"" foods. Recent studies have found that consuming reasonable amounts of saturated fat does not increase your stroke or heart attack risk and is actually good for you."
18,Does olive oil prevent heart disease?,,"True! The health benefits of olive oil come from the presence of polyphenols, antioxidants that reduce the risk of heart diseases and cancers."
19,Sugar soft drinks lead to diabetes?,,"True! A large 2004 study in the Journal of the American Medical Association found that women who drank one or more sugary drinks per day increased their risk of developing type 2 diabetes by 83% compared to those who consumed less than one of these beverages per month. If you crave a drink with fizz, try soda water with some fresh lemon squeezed into it."
20,Does eating nuts make you fat?,,"False! As much as 75% of a nut is fat. But eating fat doesn't necessarily make you fat. The bigger factor leading to weight gain is portion-size. Luckily, nuts are loaded with healthy fats that keep you full. They're also a good source of protein and fibre."
21,Drinking fruit juice is as good for you as eating fruit,,"False! Calorie for calorie, whole fruit provides more nutritional benefits than drinking the pure juice of that fruit. That's because when you liquefy fruit, stripping away the peel and dumping the pulp, many ingredients like fibre, calcium, vitamin C, and other antioxidants are lost."
22,Yoghurt can ease digestive problems?,,"True! Yoghurt contains probiotics which can relieve several gastrointestinal problems, including constipation and diarrhoea."
23,Many foods are almost entirely water.,," True! Water is a large component of many foods, even meats."
24,Minerals can be changed into vitamins in the body.,,False! Minerals cannot be further broken down or converted into other substances by ordinary chemical means.
25, Fats yield more energy per gram than carbohydrates,,"True! One gram of protein yields about 4 kcal , 1 g of carbohydrate about 4 kcal, 1 g of fat about 9 kcal and 1 g of alcohol about 7 kcal."
26,Vitamins directly provide energy to the body.,,False! Vitamins provide no energy value in and of themselves. They merely aid in certain energy-yielding reactions.
27, The body generally requires greater daily amounts of vitamins than minerals.,,"False! Many minerals, such as calcium and magnesium, are required in much larger amounts than vitamins, for example, grams versus milligrams."
28,One gram of water can provide 1kcal of energy when metabolized by the body.,,"False! Water has no capacity to yield metabolizable energy in the body. Do not confuse this fact with the definition of the heat measurement unit, the kcal, which uses water."
29, The chemical term organic is related to the concept of organic gardening.,,False! Organic refers to compounds containing carbon atoms bonded to hydrogen atoms. The term has nothing to do with organic gardening.
30, Double blind studies generally employ a placebo.,,True! Use of a placebo help disguise which subjects are receiving the substance under study. This helps decrease bias in observations by the investigators.
31,Genetic background has a minimal influence over lifetime health.,,"False! Genetic background influences the risk for cardiovascular disease, some forms of cancer, obesity, osteoporosis, diabetes, and other diseases."
32,Alcoholic beverages are a considerable source of energy for some people.,,"True! In fact, alcoholic beverages are a leading contributor to energy intake for adults in the United States."
33,"Fats and carbohydrates are composed of the same chemical elements, but in differing amounts.",,"True! Carbohydrates are made of carbon, hydrogen, and oxygen atoms. Fats are made mainly of carbon and hydrogen, with fewer oxygen atoms than carbohydrates. Proteins contain hydrogen, carbon, and oxygen as well, but also contain nitrogen."
34,"Because alcohol contains calories, it is considered a nutrient the same as carbohydrate, protein, and fat.",,"False! Although alcohol does contain calories (7kcal/g), it is not considered a nutrient because it has no required function."
35,"All dietary fats are equally harmful, so one should work toward complete elimination of fat from the diet.",,"False! Although excess fat in the diet can lead to weight gain and may result in chronic disease (e.g., cardiovascular disease), some fat is essential in the diet. Essential fatty acids, for example, help regulate blood pressure and play a role in the synthesis and repair of vital cell parts."
36,Much of what we know about nutrition was discovered in the last century.,,True! Research in the 20th century has contributed most of our current knowledge about nutrition. Much of this research took place in the United States.
37,We have little to no control over our health with respect to disease.,,"False! Though genetic predisposition has some influence, eating a well-balanced diet, in combination with a healthy lifestyle, can lead to a healthier life."
38,Fiber is not important,,"False! High-fiber foods help keep your digestive system healthy. Try to get 25 to 38 grams of fiber a day. Also, remember to drink plenty of water to prevent constipation"
